"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
50," Y. OH",1,0,0,0,0,2,0,0,0,0,0,0,0,1.000
67," Kuchar",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
62," Kulik",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
32," M. Kasinski",1,0,0,0,5,0,0,0,0,0,0,0,0,1.000
36," D. Kurowski",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
84," N. Serafin",1,0,0,0,2,0,12,0,0,0,0,0,0,1.000
18," Górecki",1,0,0,0,1,1,0,0,0,0,0,0,0,1.000
40," Michalski",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
51," Ośka",1,0,0,0,2,0,0,0,0,0,0,0,0,1.000
20," Myrek",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
38," Trzeciak",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,0,0,0,12,3,12,0,0,0,0,0,0,1.000
